run,period,filters,trades,net,pf,payoff,dd,dd_pct,win_pct,avg_win,avg_loss,sharpe,folder
W_sl3p0_L8_t25,M15 (2026.01.01 - 2026.09.18),none,180,5769.58,1.55,32.05,3 026.09 (30.09%),30.09,27.78,323.49,-80.04,4.1,results_best_M15
W_sl3p0_L8_cool,M15 (2026.01.01 - 2026.09.18),Cooldown,163,5174.23,1.52,31.74,2 378.08 (26.76%),26.76,29.45,316.12,-86.95,3.79,results_best_M15
W_sl2p5_L8_cool,M15 (2026.01.01 - 2026.09.18),Cooldown,162,4796.11,1.51,29.61,2 209.46 (28.85%),28.85,29.01,300.38,-81.06,4.03,results_best_M15
W_sl2p5_L8_cool,M3 (2026.01.01 - 2026.09.18),Cooldown,895,4762.27,1.25,5.32,2 114.55 (21.57%),21.57,31.51,85.05,-31.36,3.6,results_best_M3
W_sl2p5_L5_cool,M3 (2026.01.01 - 2026.09.18),Cooldown,894,4708.15,1.24,5.27,2 128.05 (20.75%),20.75,31.43,85.16,-31.36,4.46,results_best_M3
W_sl2p5_L8,M15 (2026.01.01 - 2026.09.18),none,197,4628.49,1.45,23.49,2 286.75 (32.97%),32.97,27.41,275.54,-71.68,3.2,results_best_M15
W_sl2p5_L8_vwap,M15 (2026.01.01 - 2026.09.18),Vwap,189,4613.44,1.46,24.41,2 125.25 (30.64%),30.64,27.51,283.34,-73.87,3.22,results_best_M15
W_sl3p0_L5_cool,M15 (2026.01.01 - 2026.09.18),Cooldown,161,4523.02,1.47,28.09,2 427.08 (27.06%),27.06,29.81,295.97,-85.69,3.89,results_best_M15
W_sl2p5_L5,M3 (2026.01.01 - 2026.09.18),none,1214,4317.35,1.18,3.56,3 055.55 (28.77%),28.77,27.51,85.44,-27.52,3.5,results_best_M3
W_sl3p0_L5,M15 (2026.01.01 - 2026.09.18),none,196,4043.48,1.37,20.63,2 850.18 (33.15%),33.15,27.55,276.47,-76.66,3.17,results_best_M15
W_sl3p0_L8,M15 (2026.01.01 - 2026.09.18),none,198,4019.97,1.36,20.3,2 780.67 (34.60%),34.6,27.27,281.88,-77.79,2.61,results_best_M15
W_sl3p0_L8_vwap,M15 (2026.01.01 - 2026.09.18),Vwap,190,4004.92,1.36,21.08,2 779.32 (34.58%),34.58,27.37,290.97,-80.62,2.63,results_best_M15
W_sl3p0_L5_vwap,M15 (2026.01.01 - 2026.09.18),Vwap,188,3946.63,1.37,20.99,2 947.03 (34.27%),34.27,27.66,283.76,-79.48,3.12,results_best_M15
W_sl2p5_L8,M3 (2026.01.01 - 2026.09.18),none,1215,3778.42,1.16,3.11,3 291.05 (33.47%),33.47,27.57,83.57,-27.52,2.49,results_best_M3
W_sl3p0_L5,M3 (2026.01.01 - 2026.09.18),none,1215,3752.65,1.15,3.09,2 568.55 (27.22%),27.22,27.08,89.76,-29.09,2.39,results_best_M3
W_sl3p0_L5_cool,M3 (2026.01.01 - 2026.09.18),Cooldown,893,3367.8,1.16,3.77,1 815.65 (20.23%),20.23,31.24,88.22,-34.6,2.57,results_best_M3
W_sl3p0_L8_all3,M15 (2026.01.01 - 2026.09.18),"Ema50,Vwap,Cooldown",112,3275.45,1.53,29.25,1 046.15 (14.49%),14.49,33.04,256.0,-82.62,2.85,results_best_M15
W_sl3p0_L8,M3 (2026.01.01 - 2026.09.18),none,1218,3254.78,1.13,2.67,2 869.50 (30.45%),30.45,27.09,88.08,-29.07,1.74,results_best_M3
W_sl3p0_L4,M15 (2026.01.01 - 2026.09.18),none,195,3237.35,1.3,16.6,2 484.37 (31.39%),31.39,33.85,211.0,-82.86,3.01,results_best_M15
W_sl2p5_L5_vwap,M5 (2026.01.01 - 2026.09.18),Vwap,323,3230.69,1.32,10.0,1 230.70 (17.70%),17.7,23.84,173.55,-41.19,4.4,results_best_M5
W_sl3p0_L4,M3 (2026.01.01 - 2026.09.18),none,1214,3044.6,1.12,2.51,2 693.20 (28.53%),28.53,30.23,78.13,-30.26,2.58,results_best_M3
W_sl3p0_L8_vwap,M3 (2026.01.01 - 2026.09.18),Vwap,394,2982.81,1.29,7.57,1 003.20 (14.13%),14.13,22.84,148.24,-34.07,3.42,results_best_M3
W_sl2p5_L4,M3 (2026.01.01 - 2026.09.18),none,1214,2942.95,1.12,2.42,2 750.35 (27.93%),27.93,30.4,73.55,-28.64,3.12,results_best_M3
W_sl3p0_L8_cool,M3 (2026.01.01 - 2026.09.18),Cooldown,894,2781.08,1.13,3.11,1 860.75 (21.45%),21.45,31.32,85.58,-34.5,1.82,results_best_M3
W_sl2p5_L5_vwap,M3 (2026.01.01 - 2026.09.18),Vwap,394,2677.5,1.27,6.8,1 635.45 (19.95%),19.95,26.4,120.83,-34.1,5.3,results_best_M3
W_sl3p0_L8_all3,M3 (2026.01.01 - 2026.09.18),"Ema50,Vwap,Cooldown",314,2649.51,1.3,8.44,995.90 (14.11%),14.11,24.52,147.5,-36.74,3.54,results_best_M3
W_sl3p0_L8_ema50_cool,M15 (2026.01.01 - 2026.09.18),"Ema50,Cooldown",116,2575.13,1.37,22.2,1 687.21 (23.57%),23.57,31.9,256.0,-87.3,2.25,results_best_M15
W_sl2p5_L8_ema50,M3 (2026.01.01 - 2026.09.18),Ema50,790,2529.12,1.15,3.2,3 065.30 (42.52%),42.52,27.09,90.87,-29.37,2.4,results_best_M3
W_sl3p0_L5_ema50,M15 (2026.01.01 - 2026.09.18),Ema50,132,2471.78,1.32,18.73,1 962.93 (25.35%),25.35,29.55,259.16,-82.1,2.66,results_best_M15
W_sl3p0_L8_ema50_vwap,M3 (2026.01.01 - 2026.09.18),"Ema50,Vwap",374,2448.31,1.24,6.55,1 594.10 (22.49%),22.49,21.93,154.83,-35.1,2.97,results_best_M3
REF_D3_sl3p0,M5 (2026.01.01 - 2026.09.18),none,737,2401.82,1.15,3.26,1 620.53 (23.63%),23.63,24.56,103.35,-29.32,1.81,results_best_M5
W_sl2p5_L8_vwap,M3 (2026.01.01 - 2026.09.18),Vwap,394,2359.77,1.24,5.99,1 634.80 (20.53%),20.53,26.4,117.77,-34.1,3.59,results_best_M3
W_sl3p0_L5_vwap,M3 (2026.01.01 - 2026.09.18),Vwap,394,2306.9,1.22,5.86,1 497.15 (19.39%),19.39,22.84,140.73,-34.07,3.61,results_best_M3
W_sl2p5_L5_ema50_vwap,M3 (2026.01.01 - 2026.09.18),"Ema50,Vwap",374,2248.5,1.23,6.01,1 893.95 (23.69%),23.69,25.4,125.96,-34.83,4.74,results_best_M3
W_sl2p5_L5_ema50_vwap,M5 (2026.01.01 - 2026.09.18),"Ema50,Vwap",287,2148.02,1.25,7.48,1 269.75 (21.82%),21.82,24.39,154.9,-40.07,3.31,results_best_M5
W_sl2p5_L8_vwap,M5 (2026.01.01 - 2026.09.18),Vwap,325,2003.18,1.2,6.16,1 328.95 (19.86%),19.86,24.0,155.59,-41.02,2.29,results_best_M5
