run,period,filters,trades,net,pf,payoff,dd,dd_pct,win_pct,avg_win,avg_loss,sharpe,folder
TU_qf_vwap,M3 (2026.01.01 - 2026.09.18),Vwap,600,3269.64,1.1,5.45,3 566.78 (12.80%),12.8,23.83,263.37,-74.42,3.01,results_tu_M3
TU_qf_adx30,M3 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Cooldown",22,2545.36,4.21,115.7,429.09 (1.68%),1.68,45.45,333.93,-64.99,36.76,results_tu_M3
TU_qf_ema50,M3 (2026.01.01 - 2026.09.18),Ema50,887,2530.18,1.05,2.85,5 403.78 (19.15%),19.15,24.46,238.59,-72.68,1.58,results_tu_M3
TU_qf_vwap,M5 (2026.01.01 - 2026.09.18),Vwap,437,2219.59,1.09,5.08,3 621.45 (13.23%),13.23,24.03,258.2,-74.34,2.25,results_tu_M5
TU_qf_adx30,M5 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Cooldown",23,1939.58,2.85,84.33,262.56 (1.00%),1.0,34.78,373.22,-69.04,24.8,results_tu_M5
TU_tgt500,M3 (2026.01.01 - 2026.09.18),none,1200,1862.47,1.03,1.55,6 285.30 (20.93%),20.93,23.67,238.9,-71.21,0.97,results_tu_M3
TU_qf_cool10,M3 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Cooldown",63,1675.38,1.5,26.59,1 273.98 (4.94%),4.94,25.4,314.33,-70.54,11.42,results_tu_M3
TU_qf_default,M3 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Cooldown",63,1675.38,1.5,26.59,1 273.98 (4.94%),4.94,25.4,314.33,-70.54,11.42,results_tu_M3
TU_qf_adx20,M3 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Cooldown",105,1528.25,1.26,14.55,1 329.54 (5.20%),5.2,25.71,271.07,-73.45,6.56,results_tu_M3
TU_tgt100_cap80,M3 (2026.01.01 - 2026.09.18),none,270,1526.31,1.1,5.65,3 259.95 (10.94%),10.94,22.59,263.71,-68.74,3.95,results_tu_M3
TU_tgt200,M3 (2026.01.01 - 2026.09.18),none,1096,1491.19,1.03,1.36,5 446.08 (18.76%),18.76,23.91,230.65,-69.85,0.85,results_tu_M3
TU_tgt100_cap80,M5 (2026.01.01 - 2026.09.18),none,271,1469.55,1.11,5.42,1 577.28 (5.62%),5.62,24.72,222.18,-65.1,3.08,results_tu_M5
TU_cap80,M3 (2026.01.01 - 2026.09.18),none,471,1041.63,1.04,2.21,3 275.76 (12.48%),12.48,22.72,232.13,-64.58,1.46,results_tu_M3
TU_mode0_sweep24,M3 (2026.01.01 - 2026.09.18),none,16,776.94,1.9,48.56,620.73 (2.47%),2.47,37.5,272.86,-85.23,9.05,results_tu_M3
TU_qf_default,M5 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Cooldown",58,667.67,1.19,11.51,886.22 (3.49%),3.49,24.14,302.45,-80.45,4.66,results_tu_M5
TU_qf_cool10,M5 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Cooldown",56,625.79,1.18,11.17,929.97 (3.70%),3.7,25.0,288.0,-80.47,4.44,results_tu_M5
TU_tgt50,M3 (2026.01.01 - 2026.09.18),none,942,471.57,1.01,0.5,4 375.02 (15.43%),15.43,23.89,227.93,-70.05,0.33,results_tu_M3
TU_qf_all,M3 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Bias,Volume,Cooldown",45,432.11,1.16,9.6,1 765.88 (6.81%),6.81,24.44,281.89,-77.66,5.06,results_tu_M3
TU_tgt100,M3 (2026.01.01 - 2026.09.18),none,958,371.67,1.01,0.39,4 170.77 (14.90%),14.9,23.8,226.78,-69.51,0.25,results_tu_M3
TU_qf_all,M5 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Bias,Volume,Cooldown",40,313.98,1.13,7.85,601.02 (2.39%),2.39,22.5,298.06,-75.83,3.05,results_tu_M5
TU_qf_volume,M3 (2026.01.01 - 2026.09.18),Volume,557,123.45,1.0,0.22,6 555.63 (22.54%),22.54,23.16,243.51,-72.31,0.13,results_tu_M3
