seq,time_server,time_ist,event,symbol,tf,trade_id,direction,exit_mode,ist_session,flip_from,entry_price,init_sl,cur_sl,sl_distance,sl_factor,tp_unit,tp1,tp2,tp3,tp4,tp5,lots_initial,lots_event,lots_remaining,event_price,r_target,r_realized,profit,ema9,ema21,ema50,ema9_prev,ema21_prev,ema21_50_gap_atr,atr,adx,rsi,rsi_m5,macd_main,macd_signal,macd_hist,vwap,close,volume,vol_avg,bull_pct,bear_pct,spread_pts,qfilter_on,qf_flags,mfe_r,mae_r,balance,equity,note
1,2026.01.02 03:45:00,2026.01.02 06:15:00,SKIP,XAUUSD,M3,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4348.19,4348.28,4343.89,4348.56,4348.43,1.261,3.48,17.42,47.70,53.64,0.54,1.07,-0.53,4345.87,4346.68,438,454,28.6,42.9,5,1,CROSS=EMA9<EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,25000.00,25000.00,quality filter
2,2026.01.02 03:48:00,2026.01.02 06:18:00,SKIP,XAUUSD,M3,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4348.57,4348.44,4344.14,4348.19,4348.28,1.308,3.29,15.33,54.60,53.64,0.64,0.96,-0.32,4345.94,4350.09,436,455,57.1,14.3,5,1,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,25000.00,25000.00,quality filter
3,2026.01.02 04:12:00,2026.01.02 06:42:00,SKIP,XAUUSD,M3,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4348.78,4348.88,4345.60,4349.14,4349.03,1.122,2.93,12.49,47.47,52.66,0.30,0.76,-0.46,4346.41,4347.37,268,422,28.6,42.9,5,1,CROSS=EMA9<EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,25000.00,25000.00,quality filter
4,2026.01.02 04:39:00,2026.01.02 07:09:00,SKIP,XAUUSD,M3,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4349.25,4348.74,4346.43,4348.30,4348.31,0.797,2.90,19.26,61.19,50.80,0.42,-0.10,0.52,4346.64,4353.06,501,390,85.7,0.0,10,1,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,25000.00,25000.00,quality filter
5,2026.01.02 08:15:00,2026.01.02 10:45:00,SKIP,XAUUSD,M3,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4377.09,4377.34,4374.33,4377.55,4377.55,1.533,1.96,29.10,44.39,50.44,0.30,1.18,-0.88,4359.43,4375.24,305,333,28.6,57.1,5,1,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,25000.00,25000.00,outside the killzone window
6,2026.01.02 08:30:00,2026.01.02 11:00:00,SKIP,XAUUSD,M3,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4377.67,4377.48,4374.93,4377.12,4377.24,1.051,2.43,20.99,58.09,61.02,0.38,0.39,-0.01,4360.04,4379.87,354,333,71.4,14.3,9,1,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,25000.00,25000.00,outside the killzone window
7,2026.01.02 08:45:00,2026.01.02 11:15:00,SKIP,XAUUSD,M3,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4376.87,4377.19,4375.27,4377.47,4377.46,0.824,2.33,22.51,41.81,46.33,-0.05,0.24,-0.29,4360.51,4374.46,301,331,14.3,57.1,5,1,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,25000.00,25000.00,outside the killzone window
8,2026.01.02 09:36:00,2026.01.02 12:06:00,SKIP,XAUUSD,M3,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4375.91,4375.76,4375.25,4374.96,4375.36,0.174,2.93,32.10,62.42,57.33,-0.07,-0.51,0.44,4362.05,4379.71,522,393,100.0,0.0,11,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,25000.00,25000.00,quality filter
9,2026.01.02 12:00:00,2026.01.02 14:30:00,SKIP,XAUUSD,M3,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4387.38,4387.63,4385.57,4387.85,4387.84,0.972,2.12,16.57,43.93,48.51,0.14,0.59,-0.45,4367.65,4385.50,257,373,14.3,57.1,5,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,25000.00,25000.00,outside the entry window
10,2026.01.02 12:21:00,2026.01.02 14:51:00,SKIP,XAUUSD,M3,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4388.02,4387.83,4386.16,4387.57,4387.64,0.833,2.01,11.69,57.14,52.42,0.28,0.17,0.10,4368.16,4389.80,432,333,85.7,0.0,10,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,25000.00,25000.00,outside the entry window
11,2026.01.02 12:33:00,2026.01.02 15:03:00,SKIP,XAUUSD,M3,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4387.63,4387.73,4386.37,4387.85,4387.82,0.655,2.08,21.82,47.05,49.33,0.06,0.19,-0.13,4368.42,4386.76,353,291,28.6,57.1,11,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,25000.00,25000.00,outside the entry window
12,2026.01.02 12:36:00,2026.01.02 15:06:00,SKIP,XAUUSD,M3,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4387.94,4387.86,4386.48,4387.63,4387.73,0.635,2.17,21.44,54.65,53.91,0.17,0.20,-0.03,4368.49,4389.16,284,294,57.1,14.3,9,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,25000.00,25000.00,outside the entry window
13,2026.01.02 13:51:00,2026.01.02 16:21:00,SKIP,XAUUSD,M3,0,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4394.13,4394.17,4391.97,4394.36,4394.27,0.956,2.31,14.70,48.29,54.51,0.42,1.08,-0.66,4370.75,4393.21,234,312,28.6,42.9,6,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,25000.00,25000.00,outside the entry window
14,2026.01.02 14:12:00,2026.01.02 16:42:00,SKIP,XAUUSD,M3,0,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4394.00,4393.87,4392.31,4393.47,4393.64,0.651,2.39,21.33,57.14,57.28,0.23,0.10,0.13,4371.37,4396.15,427,312,85.7,0.0,8,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,25000.00,25000.00,outside the entry window
15,2026.01.02 14:39:00,2026.01.02 17:09:00,SKIP,XAUUSD,M3,0,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4394.01,4394.20,4393.01,4394.41,4394.38,0.519,2.29,23.15,44.79,51.25,0.03,0.43,-0.40,4372.11,4392.41,472,357,28.6,57.1,10,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,25000.00,25000.00,outside the entry window
16,2026.01.02 15:06:00,2026.01.02 17:36:00,SKIP,XAUUSD,M3,0,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4393.18,4392.87,4392.51,4392.05,4392.38,0.121,2.94,34.16,61.23,58.55,-0.01,-0.91,0.91,4372.85,4397.71,534,414,100.0,0.0,7,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,25000.00,25000.00,outside the entry window
