seq,time_server,time_ist,event,symbol,tf,trade_id,direction,exit_mode,ist_session,flip_from,entry_price,init_sl,cur_sl,sl_distance,sl_factor,tp_unit,tp1,tp2,tp3,tp4,tp5,lots_initial,lots_event,lots_remaining,event_price,r_target,r_realized,profit,ema9,ema21,ema50,ema9_prev,ema21_prev,ema21_50_gap_atr,atr,adx,rsi,rsi_m5,macd_main,macd_signal,macd_hist,vwap,close,volume,vol_avg,bull_pct,bear_pct,spread_pts,qfilter_on,qf_flags,mfe_r,mae_r,balance,equity,note
1,2026.01.02 03:45:00,2026.01.02 06:15:00,SKIP,XAUUSD,M3,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4348.19,4348.28,4343.89,4348.56,4348.43,1.261,3.48,17.42,47.70,53.64,0.54,1.07,-0.53,4345.87,4346.68,438,454,28.6,42.9,5,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=0;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,25000.00,25000.00,quality filter
2,2026.01.02 03:48:00,2026.01.02 06:18:00,SKIP,XAUUSD,M3,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4348.57,4348.44,4344.14,4348.19,4348.28,1.308,3.29,15.33,54.60,53.64,0.64,0.96,-0.32,4345.94,4350.09,436,455,57.1,14.3,5,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=1;VOL=0;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,25000.00,25000.00,quality filter
3,2026.01.02 04:12:00,2026.01.02 06:42:00,SKIP,XAUUSD,M3,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4348.78,4348.88,4345.60,4349.14,4349.03,1.122,2.93,12.49,47.47,52.66,0.30,0.76,-0.46,4346.41,4347.37,268,422,28.6,42.9,5,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=0;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,25000.00,25000.00,quality filter
4,2026.01.02 04:39:00,2026.01.02 07:09:00,ENTRY,XAUUSD,M3,2,BUY,FULLTGT,DAY,0,4353.16,4347.36,4347.36,5.80,1.00,5.80,4358.96,4364.76,4370.56,4376.36,4382.16,0.21,0.21,0.21,4353.16,0.00,0.00,0.00,4349.25,4348.74,4346.43,4348.30,4348.31,0.797,2.90,19.26,61.19,50.80,0.42,-0.10,0.52,4346.64,4353.06,501,390,85.7,0.0,10,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,24999.26,24997.16,KZ=ASIA; KZR=no-sweep-yet; DAY 12AM-4PM IST session: stop x1.00 of usual; no partials; full size to TP5; SL steps BE->TP1->TP2->TP3
5,2026.01.02 04:51:25,2026.01.02 07:21:25,SL_MOVE,XAUUSD,M3,2,BUY,FULLTGT,DAY,0,4353.16,4347.36,4353.16,5.80,1.00,5.80,4358.96,4364.76,4370.56,4376.36,4382.16,0.21,0.00,0.21,4353.16,1.00,0.00,0.00,4352.14,4350.36,4347.51,4350.73,4349.61,1.039,2.74,28.05,68.01,63.20,1.48,0.38,1.10,4347.03,4357.80,520,381,100.0,0.0,11,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,1.00,-0.41,24999.26,25121.27,stop to breakeven
6,2026.01.02 04:51:25,2026.01.02 07:21:25,TP1_REACHED,XAUUSD,M3,2,BUY,FULLTGT,DAY,0,4353.16,4347.36,4353.16,5.80,1.00,5.80,4358.96,4364.76,4370.56,4376.36,4382.16,0.21,0.00,0.21,4358.96,1.00,1.00,0.00,4352.14,4350.36,4347.51,4350.73,4349.61,1.039,2.74,28.05,68.01,63.20,1.48,0.38,1.10,4347.03,4357.80,520,381,100.0,0.0,11,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,1.00,-0.41,24999.26,25121.27,full target: no partial booked
7,2026.01.02 05:06:20,2026.01.02 07:36:20,SL_MOVE,XAUUSD,M3,2,BUY,FULLTGT,DAY,0,4353.16,4347.36,4358.96,5.80,1.00,5.80,4358.96,4364.76,4370.56,4376.36,4382.16,0.21,0.00,0.21,4358.96,2.00,0.00,0.00,4359.40,4355.02,4350.23,4358.17,4354.09,1.664,2.88,52.80,75.94,72.83,3.88,2.10,1.78,4348.06,4364.30,296,409,85.7,0.0,5,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,2.00,-0.41,24999.26,25243.70,stop trailed to TP1
8,2026.01.02 05:06:20,2026.01.02 07:36:20,TP2_REACHED,XAUUSD,M3,2,BUY,FULLTGT,DAY,0,4353.16,4347.36,4358.96,5.80,1.00,5.80,4358.96,4364.76,4370.56,4376.36,4382.16,0.21,0.00,0.21,4364.76,2.00,2.00,0.00,4359.40,4355.02,4350.23,4358.17,4354.09,1.664,2.88,52.80,75.94,72.83,3.88,2.10,1.78,4348.06,4364.30,296,409,85.7,0.0,5,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,2.00,-0.41,24999.26,25243.70,full target: no partial booked
9,2026.01.02 05:13:30,2026.01.02 07:43:30,SL_MOVE,XAUUSD,M3,2,BUY,FULLTGT,DAY,0,4353.16,4347.36,4364.76,5.80,1.00,5.80,4358.96,4364.76,4370.56,4376.36,4382.16,0.21,0.00,0.21,4364.76,3.00,0.00,0.00,4362.09,4357.07,4351.51,4360.78,4356.05,1.988,2.80,61.03,79.16,73.96,4.60,2.94,1.66,4348.50,4367.34,405,422,85.7,0.0,5,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,2.99,-0.41,24999.26,25364.66,stop trailed to TP2
10,2026.01.02 05:13:30,2026.01.02 07:43:30,TP3_REACHED,XAUUSD,M3,2,BUY,FULLTGT,DAY,0,4353.16,4347.36,4364.76,5.80,1.00,5.80,4358.96,4364.76,4370.56,4376.36,4382.16,0.21,0.00,0.21,4370.56,3.00,3.00,0.00,4362.09,4357.07,4351.51,4360.78,4356.05,1.988,2.80,61.03,79.16,73.96,4.60,2.94,1.66,4348.50,4367.34,405,422,85.7,0.0,5,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,2.99,-0.41,24999.26,25364.66,full target: no partial booked
