run,period,filters,trades,net,pf,payoff,dd,dd_pct,win_pct,avg_win,avg_loss,sharpe
TU_qf_vwap,M5 (2026.01.01 - 2026.09.18),Vwap,437,2219.59,1.09,5.08,3 621.45 (13.23%),13.23,24.03,258.2,-74.34,2.25
TU_qf_adx30,M5 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Cooldown",23,1939.58,2.85,84.33,262.56 (1.00%),1.0,34.78,373.22,-69.04,24.8
TU_tgt100_cap80,M5 (2026.01.01 - 2026.09.18),none,271,1469.55,1.11,5.42,1 577.28 (5.62%),5.62,24.72,222.18,-65.1,3.08
TU_qf_default,M5 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Cooldown",58,667.67,1.19,11.51,886.22 (3.49%),3.49,24.14,302.45,-80.45,4.66
TU_qf_cool10,M5 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Cooldown",56,625.79,1.18,11.17,929.97 (3.70%),3.7,25.0,288.0,-80.47,4.44
TU_qf_all,M5 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Bias,Volume,Cooldown",40,313.98,1.13,7.85,601.02 (2.39%),2.39,22.5,298.06,-75.83,3.05
TU_lead30,M5 (2026.01.01 - 2026.09.18),none,622,100.94,1.0,0.16,5 398.95 (19.36%),19.36,23.63,225.2,-68.89,0.08
TU_days10,M5 (2026.01.01 - 2026.09.18),none,5,-130.48,0.65,-26.1,249.49 (1.00%),1.0,20.0,244.65,-93.22,-0.81
TU_mode0_sweep12,M5 (2026.01.01 - 2026.09.18),none,8,-167.62,0.66,-20.95,410.17 (1.64%),1.64,25.0,160.4,-80.84,-0.98
TU_mode0_sweep6,M5 (2026.01.01 - 2026.09.18),none,2,-244.51,0.0,-122.26,244.51 (0.98%),0.98,0.0,0.0,-121.83,-3.65
TU_closeatend,M5 (2026.01.01 - 2026.09.18),none,807,-284.2,0.99,-0.35,4 237.69 (15.75%),15.75,29.86,164.59,-69.93,-0.24
TU_qf_cooldown,M5 (2026.01.01 - 2026.09.18),Cooldown,589,-341.14,0.99,-0.58,5 366.67 (19.30%),19.3,25.3,219.69,-74.55,-0.27
TU_days3,M5 (2026.01.01 - 2026.09.18),none,13,-373.81,0.61,-28.75,616.36 (2.47%),2.47,15.38,293.71,-86.94,-4.93
TU_qf_adx20,M5 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Cooldown",92,-374.18,0.93,-4.07,1 721.51 (6.75%),6.75,22.83,251.03,-78.92,-1.65
TU_tgt200,M5 (2026.01.01 - 2026.09.18),none,682,-486.79,0.99,-0.71,4 924.46 (18.72%),18.72,24.19,203.04,-65.15,-0.37
TU_mode0_sweep24,M5 (2026.01.01 - 2026.09.18),none,16,-556.08,0.49,-34.76,781.30 (3.13%),3.13,18.75,177.98,-83.43,-5.0
TU_tgt50,M5 (2026.01.01 - 2026.09.18),none,598,-849.44,0.97,-1.42,4 697.89 (18.48%),18.48,23.91,201.37,-64.57,-0.75
TU_tgt100,M5 (2026.01.01 - 2026.09.18),none,622,-863.37,0.97,-1.39,4 947.48 (18.93%),18.93,23.95,202.94,-65.16,-0.74
TU_fn25k,M5 (2026.01.01 - 2026.09.18),none,212,-1230.9,0.83,-5.81,1 798.37 (7.03%),7.03,22.64,129.7,-45.15,-5.0
TU_qf_trend,M5 (2026.01.01 - 2026.09.18),Trend,283,-1288.09,0.93,-4.55,4 008.36 (15.06%),15.06,24.38,239.64,-82.68,-2.01
TU_qf_ema50,M5 (2026.01.01 - 2026.09.18),Ema50,513,-1571.81,0.94,-3.06,4 474.40 (17.64%),17.64,24.17,203.02,-68.19,-1.53
TU_tgt100_close,M5 (2026.01.01 - 2026.09.18),none,643,-1752.48,0.94,-2.73,5 251.17 (20.30%),20.3,23.79,193.84,-63.53,-1.49
TU_qf_bias,M5 (2026.01.01 - 2026.09.18),Bias,613,-1904.94,0.94,-3.11,6 765.92 (24.39%),24.39,23.49,216.21,-69.87,-1.56
TU_cap80,M5 (2026.01.01 - 2026.09.18),none,373,-1945.89,0.9,-5.22,3 748.15 (14.19%),14.19,22.52,206.9,-66.27,-3.16
