seq,time_server,time_ist,event,symbol,tf,trade_id,direction,exit_mode,ist_session,flip_from,entry_price,init_sl,cur_sl,sl_distance,sl_factor,tp_unit,tp1,tp2,tp3,tp4,tp5,lots_initial,lots_event,lots_remaining,event_price,r_target,r_realized,profit,ema9,ema21,ema50,ema9_prev,ema21_prev,ema21_50_gap_atr,atr,adx,rsi,rsi_m5,macd_main,macd_signal,macd_hist,vwap,close,volume,vol_avg,bull_pct,bear_pct,spread_pts,qfilter_on,qf_flags,mfe_r,mae_r,balance,equity,note
1,2026.01.02 01:00:00,2026.01.02 03:30:00,SKIP,XAUUSD,M5,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4315.10,4314.63,4316.88,4314.15,4314.20,-0.617,3.65,25.75,56.35,56.35,-0.15,-1.26,1.12,4330.08,4318.87,281,573,71.4,14.3,8,0,NA,0.00,0.00,25000.00,25000.00,outside the killzone window
2,2026.01.02 08:55:00,2026.01.02 11:25:00,SKIP,XAUUSD,M5,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4376.39,4376.45,4371.28,4376.88,4376.66,1.776,2.91,24.57,46.43,46.43,0.71,1.58,-0.87,4360.77,4374.40,514,565,14.3,57.1,12,0,NA,0.00,0.00,25000.00,25000.00,outside the killzone window
3,2026.01.02 09:40:00,2026.01.02 12:10:00,SKIP,XAUUSD,M5,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4376.39,4376.11,4372.60,4375.54,4375.74,1.050,3.35,27.69,58.82,58.82,0.41,0.13,0.27,4362.19,4379.81,700,623,100.0,0.0,5,0,NA,0.00,0.00,25000.00,25000.00,killzone range: no weekly sweep recorded yet
4,2026.01.02 14:45:00,2026.01.02 17:15:00,SKIP,XAUUSD,M5,0,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4393.01,4393.36,4390.62,4394.20,4393.87,0.821,3.34,26.23,40.39,40.39,0.23,1.01,-0.78,4372.30,4388.22,917,564,14.3,85.7,10,0,NA,0.00,0.00,25000.00,25000.00,outside the entry window
5,2026.01.02 15:05:00,2026.01.02 17:35:00,SKIP,XAUUSD,M5,0,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4393.26,4393.22,4390.92,4392.17,4392.78,0.624,3.68,26.33,58.55,58.55,0.24,0.43,-0.19,4372.84,4397.62,904,625,85.7,14.3,8,0,NA,0.00,0.00,25000.00,25000.00,outside the entry window
6,2026.01.02 15:25:00,2026.01.02 17:55:00,SKIP,XAUUSD,M5,0,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4393.11,4393.42,4391.41,4395.99,4394.60,0.411,4.89,27.62,35.22,35.22,0.05,0.28,-0.23,4373.60,4381.58,1262,718,14.3,85.7,10,0,NA,0.00,0.00,25000.00,25000.00,outside the entry window
7,2026.01.02 21:45:00,2026.01.03 00:15:00,SKIP,XAUUSD,M5,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4320.61,4320.54,4327.91,4320.06,4320.32,-1.859,3.96,28.24,52.34,52.34,-1.04,-2.40,1.36,4356.36,4322.80,1148,1067,71.4,28.6,5,0,NA,0.00,0.00,25000.00,25000.00,outside the entry window
8,2026.01.02 22:00:00,2026.01.03 00:30:00,SKIP,XAUUSD,M5,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4320.10,4320.33,4326.99,4320.59,4320.55,-1.860,3.58,20.93,44.42,44.42,-0.96,-1.56,0.60,4355.80,4318.17,1127,1066,14.3,71.4,9,0,NA,0.00,0.00,25000.00,25000.00,outside the entry window
9,2026.01.02 22:25:00,2026.01.03 00:55:00,SKIP,XAUUSD,M5,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4321.48,4320.84,4325.99,4320.30,4320.30,-1.469,3.50,21.33,59.78,59.78,-0.07,-0.80,0.73,4355.04,4326.23,921,1012,57.1,14.3,5,0,NA,0.00,0.00,25000.00,25000.00,outside the entry window
10,2026.01.05 06:15:00,2026.01.05 08:45:00,SKIP,XAUUSD,M5,0,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4403.48,4403.64,4394.46,4404.33,4404.00,2.207,4.16,27.91,46.73,46.73,1.30,3.26,-1.95,4394.73,4400.08,587,1006,14.3,71.4,5,0,NA,0.00,0.00,25000.00,25000.00,killzone range: last sweep 38 bars ago > 6
